,City,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longditude,Country,Date_Time
307,torbay,35.01,95,90,16.11,47.67,-52.73,CA,1588574948
308,basoko,84.02,55,10,3.33,1.24,23.62,CD,1588574948
309,upernavik,15.55,92,100,6.62,72.79,-56.15,GL,1588574948
310,kautokeino,33.67,86,100,6.89,69.01,23.04,NO,1588574948
311,santa maria,51.01,84,0,3.13,-29.68,-53.81,BR,1588574678
312,tura,89.85,43,7,1.74,25.52,90.22,IN,1588574949
313,seoul,80.6,53,0,10.29,37.57,126.98,KR,1588574700
314,la ronge,39.2,55,75,5.82,55.1,-105.28,CA,1588574949
315,nanortalik,33.93,93,100,9.95,60.14,-45.24,GL,1588574950
316,zhigansk,33.12,90,0,5.19,66.77,123.37,RU,1588574950
317,porto novo,78.8,88,20,5.82,6.5,2.6,BJ,1588574950
318,ramnagar,92.12,30,1,6.15,29.4,79.12,IN,1588574950
319,zhicheng,91.99,57,100,12.01,30.3,111.5,CN,1588574951
320,saint-pierre,84.2,66,40,9.17,-21.34,55.48,RE,1588574951
321,norman wells,23.0,73,20,2.24,65.28,-126.83,CA,1588574951
322,baijiantan,73.76,27,100,23.47,45.63,85.18,CN,1588574951
323,saint-denis,55.99,82,75,1.12,48.92,2.33,FR,1588574952
324,cabo san lucas,80.01,30,100,13.53,22.89,-109.91,MX,1588574952
325,paramonga,67.12,86,100,7.34,-10.67,-77.83,PE,1588574952
326,calbuco,51.8,93,100,8.05,-41.77,-73.13,CL,1588574952
327,dudinka,23.0,85,28,33.55,69.41,86.18,RU,1588574952
328,pangnirtung,6.78,90,100,0.58,66.15,-65.71,CA,1588574953
329,kodiak,44.6,75,90,10.29,57.79,-152.41,US,1588574953
330,burns lake,33.64,64,53,3.31,54.23,-125.75,CA,1588574953
331,chuy,54.48,90,26,4.27,-33.7,-53.46,UY,1588574954
332,saskylakh,17.46,94,100,4.56,71.92,114.08,RU,1588574954
333,caucaia,80.6,83,20,6.93,-3.74,-38.65,BR,1588574954
334,hasaki,70.0,93,75,5.82,35.73,140.83,JP,1588574954
335,camabatela,71.96,54,58,5.57,-8.19,15.38,AO,1588574954
336,pingliang,78.48,18,46,9.64,35.54,106.69,CN,1588574954
337,safakulevo,51.6,40,0,8.48,54.99,62.54,RU,1588574954
338,colonia,54.0,81,20,2.24,50.93,6.95,DE,1588574941
