,City,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longditude,Country,Date_Time
382,shenkursk,52.72,90,100,6.08,62.11,42.9,RU,1588574961
383,acajutla,71.01,100,3,4.76,13.59,-89.83,SV,1588574961
384,miri,89.6,79,75,5.82,4.41,114.01,MY,1588574961
385,chumikan,38.66,76,0,2.19,54.72,135.31,RU,1588574961
386,valdivia,53.6,100,90,5.82,-39.81,-73.25,CL,1588574962
387,pringsewu,84.63,77,100,1.19,-5.36,104.97,ID,1588574962
388,alihe,58.82,28,100,8.41,50.57,123.72,CN,1588574962
389,san andres,82.4,78,90,9.17,12.58,-81.7,CO,1588574962
390,bowen,77.0,53,0,13.87,-20.02,148.23,AU,1588574962
391,namtsy,46.4,20,31,6.71,62.72,129.67,RU,1588574962
392,port macquarie,64.99,64,2,1.01,-31.43,152.92,AU,1588574962
393,tsogni,79.3,86,94,4.03,-2.79,10.1,GA,1588574962
394,garmsar,78.58,13,0,21.03,35.22,52.34,IR,1588574963
395,figeac,55.4,82,0,9.17,44.75,1.92,FR,1588574963
396,bambanglipuro,84.99,74,22,8.43,-7.95,110.28,ID,1588574963
397,kamuli,76.77,56,10,2.21,0.95,33.12,UG,1588574963
398,paracuru,79.0,85,100,3.0,-3.41,-39.03,BR,1588574963
399,cocoa,72.0,78,1,9.17,28.39,-80.74,US,1588574963
400,damara,78.8,83,20,3.36,4.96,18.7,CF,1588574963
401,slave lake,39.2,86,1,8.05,55.28,-114.77,CA,1588574964
402,tramandai,61.52,82,74,11.65,-29.98,-50.13,BR,1588574964
403,asfi,65.44,87,0,9.04,32.3,-9.24,MA,1588574964
404,concepcion de buenos aires,71.6,35,40,6.93,19.97,-103.27,MX,1588574964
405,marica,64.4,93,40,5.82,-22.92,-42.82,BR,1588574965
406,juneau,48.0,81,75,14.99,58.3,-134.42,US,1588574965
407,altay,61.59,38,100,13.35,47.87,88.12,CN,1588574965
408,buraydah,87.8,20,0,13.87,26.33,43.98,SA,1588574965
409,nioro,69.6,53,0,3.67,13.35,-15.75,GM,1588574965
410,sao filipe,75.6,62,0,11.72,14.9,-24.5,CV,1588574965
411,ishigaki,82.4,88,20,8.05,24.34,124.16,JP,1588574965
412,tautira,80.6,78,20,4.7,-17.73,-149.15,PF,1588574966
413,filadelfia,66.0,77,90,14.99,39.95,-75.16,US,1588574821
414,timra,44.01,56,0,17.22,62.49,17.33,SE,1588574966
415,guaxupe,53.55,73,42,4.59,-21.31,-46.71,BR,1588574966
416,manokwari,84.85,69,42,6.17,-0.87,134.08,ID,1588574902
417,kenai,51.8,53,90,6.93,60.55,-151.26,US,1588574966
418,mount gambier,55.4,76,90,4.7,-37.83,140.77,AU,1588574966
419,waddan,71.44,36,0,7.05,29.16,16.14,LY,1588574966
420,labuhan,86.7,68,26,8.63,-6.88,112.21,ID,1588574967
421,diffa,88.93,35,85,10.96,13.32,12.61,NE,1588574967
422,umkomaas,64.99,90,33,8.41,-30.21,30.8,ZA,1588574967
423,kayasula,67.24,61,4,5.64,44.33,45.0,RU,1588574967
424,santa marta,80.42,78,100,13.0,11.24,-74.2,CO,1588574954
425,vostok,32.59,80,100,4.07,46.49,135.88,RU,1588574967
426,sabzevar,70.81,30,0,5.7,36.21,57.68,IR,1588574968
427,okhotsk,38.68,73,100,12.26,59.38,143.3,RU,1588574968
428,constitucion,53.98,72,0,6.24,-35.33,-72.42,CL,1588574884
429,onega,46.45,80,99,6.8,63.91,38.14,RU,1588574968
430,rocha,50.56,91,64,5.3,-34.48,-54.33,UY,1588574968
431,severnyy,60.8,82,20,11.18,50.68,36.55,RU,1588574779
432,aswan,92.48,14,0,9.73,24.09,32.91,EG,1588574968
433,santo nino,95.0,41,75,9.17,6.43,124.7,PH,1588574968
434,west bend,39.0,93,40,6.93,43.43,-88.18,US,1588574969
435,kannangad,91.4,70,20,3.36,12.31,75.11,IN,1588574969
436,kabanjahe,86.0,79,40,6.93,3.1,98.49,ID,1588574969
437,uribia,79.38,78,100,8.77,11.71,-72.27,CO,1588574969
438,samarai,80.69,85,100,13.8,-10.62,150.67,PG,1588574969
439,dalby,77.0,25,0,1.99,-27.18,151.27,AU,1588574969
440,fairbanks,44.6,33,1,13.87,64.84,-147.72,US,1588574941
441,amiens,55.0,93,90,6.93,49.9,2.3,FR,1588574969
442,eyl,91.04,54,100,10.71,7.98,49.82,SO,1588574970
443,sangar,37.06,71,0,8.28,63.92,127.47,RU,1588574970
444,jumla,57.4,32,93,1.92,29.27,82.18,NP,1588574970
445,porto velho,77.0,94,40,1.34,-8.76,-63.9,BR,1588574970
446,kayanga,67.71,52,0,5.88,-1.53,31.15,TZ,1588574970
447,cacador,51.58,70,79,5.64,-26.78,-51.02,BR,1588574970
448,kemi,35.6,100,90,3.36,65.86,24.82,FI,1588574971
449,simpang,88.59,65,80,3.71,-1.27,104.08,ID,1588574971
450,arbazh,60.49,57,0,10.13,57.68,48.31,RU,1588574971
451,cam ranh,89.6,75,20,12.75,11.92,109.16,VN,1588574971
452,bismarck,46.4,65,40,11.41,46.81,-100.78,US,1588574682
453,mahibadhoo,85.17,79,100,14.41,3.78,72.97,MV,1588574971
454,katsuura,66.99,100,75,4.7,35.13,140.3,JP,1588574971
455,grand forks,37.4,74,1,6.93,47.93,-97.03,US,1588574971
456,victor harbor,59.0,67,1,6.29,-35.57,138.62,AU,1588574972
457,chara,46.62,38,85,5.26,56.91,118.26,RU,1588574972
458,cabedelo,75.2,100,40,6.93,-6.98,-34.83,BR,1588574972
459,aklavik,14.0,72,5,9.17,68.22,-135.01,CA,1588574972
460,zhanaozen,75.4,36,0,14.47,43.3,52.8,KZ,1588574972
461,suslovo,59.25,55,100,7.52,56.22,88.12,RU,1588574972
462,port lincoln,60.26,69,44,11.16,-34.73,135.87,AU,1588574973
463,birjand,73.4,27,20,16.15,32.87,59.22,IR,1588574973
464,peniche,64.0,85,12,11.01,39.36,-9.38,PT,1588574973
465,sitka,46.4,87,90,5.82,57.05,-135.33,US,1588574973
466,jawhar,88.02,61,0,16.8,2.78,45.5,SO,1588574973
467,balkhash,69.8,30,0,17.9,46.84,74.98,KZ,1588574974
468,wangaratta,60.8,51,0,2.53,-36.37,146.33,AU,1588574974
469,guerrero negro,62.64,87,16,16.28,27.98,-114.06,MX,1588574766
470,suntar,49.39,44,0,1.97,62.14,117.63,RU,1588574974
471,sao gabriel da cachoeira,72.55,89,58,1.99,-0.13,-67.09,BR,1588574974
472,genhe,49.68,51,100,4.43,50.78,121.52,CN,1588574975
473,saint anthony,46.4,52,1,3.36,45.02,-93.22,US,1588574704
474,pozo colorado,74.01,57,24,4.23,-23.49,-58.8,PY,1588574975
475,lompoc,51.8,81,1,4.7,34.64,-120.46,US,1588574975
476,yenagoa,82.0,83,31,2.19,4.92,6.26,NG,1588574975
477,lerwick,42.8,80,20,5.82,60.15,-1.15,GB,1588574976
478,miguel auza,64.54,35,100,3.4,24.29,-103.45,MX,1588574976
479,ryotsu,71.6,53,73,4.7,38.08,138.43,JP,1588574976
480,alekseyevka,62.85,75,100,16.24,50.63,38.69,RU,1588574976
481,san quintin,63.16,85,0,15.48,30.48,-115.95,MX,1588574765
482,mercedes,57.0,99,100,4.68,-34.65,-59.43,AR,1588574976
483,itatskiy,54.09,73,100,3.44,56.07,89.04,RU,1588574976
484,nortelandia,69.84,72,100,2.77,-14.45,-56.8,BR,1588574976
485,isla vista,64.4,55,1,5.82,34.41,-119.86,US,1588574976
486,nouadhibou,66.2,88,75,21.92,20.93,-17.03,MR,1588574977
487,avera,68.0,60,1,9.17,33.19,-82.53,US,1588574977
488,bo phloi,86.86,59,100,8.88,14.32,99.52,TH,1588574977
489,gao,89.83,10,0,10.45,16.64,1.64,ML,1588574977
490,japura,92.35,60,72,1.77,-0.32,102.35,ID,1588574977
491,zavallya,64.09,64,88,3.42,48.21,30.02,UA,1588574977
492,lucea,80.6,74,20,1.12,18.45,-78.17,JM,1588574977
493,sayyan,68.9,25,96,9.37,15.17,44.32,YE,1588574978
494,mobaye,86.54,48,0,2.1,4.32,21.18,CF,1588574978
495,jiangyou,92.55,26,40,11.25,31.77,104.72,CN,1588574978
496,sorland,41.0,65,75,12.75,67.67,12.69,NO,1588574978
497,butembo,69.21,50,1,1.12,0.15,29.28,CD,1588574978
498,jablah,66.2,82,40,9.17,35.36,35.93,SY,1588574978
499,haines junction,36.48,64,32,3.98,60.75,-137.51,CA,1588574979
500,varberg,48.2,76,20,11.41,57.11,12.25,SE,1588574979
501,san cosme y damian,63.52,38,100,5.17,-27.32,-56.35,PY,1588574979
502,boyabat,60.8,87,40,4.7,41.47,34.77,TR,1588574979
503,kununurra,89.6,13,82,9.17,-15.77,128.73,AU,1588574979
504,karaton,86.0,89,40,6.93,-6.34,106.1,ID,1588574979
505,asau,51.01,84,100,3.18,46.43,26.4,RO,1588574979
506,susanville,39.99,51,1,3.2,40.42,-120.65,US,1588574834
507,tianpeng,100.99,1,83,11.79,30.99,103.94,CN,1588574980
508,takoradi,79.65,88,100,6.35,4.88,-1.76,GH,1588574980
509,oksfjord,41.0,93,75,8.05,70.24,22.35,NO,1588574980
510,te anau,44.28,78,73,1.88,-45.42,167.72,NZ,1588574980
511,villamontes,71.51,69,98,2.62,-21.25,-63.5,BO,1588574980
512,edinet,54.0,83,100,5.99,48.17,27.3,MD,1588574980
513,grindavik,44.6,87,75,21.92,63.84,-22.43,IS,1588574980
514,kuusamo,35.6,100,90,8.05,65.97,29.18,FI,1588574981
515,harlingen,78.01,94,90,9.17,26.19,-97.7,US,1588574809
516,batsfjord,35.6,92,75,2.24,70.63,29.72,NO,1588574981
517,port blair,87.35,63,18,11.27,11.67,92.75,IN,1588574981
518,sur,97.63,35,0,2.17,22.57,59.53,OM,1588574981
519,santa isabel do rio negro,73.58,96,91,0.83,-0.41,-65.02,BR,1588574981
520,nongstoin,70.74,58,19,4.74,25.52,91.27,IN,1588574981
521,ojhar,102.56,10,0,12.3,20.1,73.93,IN,1588574982
522,sobolevo,60.17,67,100,6.78,54.43,31.9,RU,1588574982
523,atar,73.94,41,0,8.84,20.52,-13.05,MR,1588574982
524,husavik,42.8,52,20,31.09,66.04,-17.34,IS,1588574982
525,ayagoz,61.05,39,100,19.91,47.97,80.44,KZ,1588574982
526,herndon,63.0,93,90,4.7,38.97,-77.39,US,1588574795
527,saint-joseph,84.2,66,40,9.17,-21.37,55.62,RE,1588574982
528,plerin,55.4,100,90,4.7,48.54,-2.78,FR,1588574982
529,tikhvin,56.77,57,78,2.59,59.65,33.53,RU,1588574983
530,igurusi,71.31,40,0,1.48,-8.85,33.85,TZ,1588574983
531,tamuin,76.48,83,52,0.98,21.98,-98.75,MX,1588574983
532,san patricio,70.65,82,97,2.51,19.22,-104.7,MX,1588574983
533,dire dawa,80.94,37,9,2.82,9.59,41.87,ET,1588574983
534,ngunguru,57.99,71,0,3.0,-35.62,174.5,NZ,1588574984
535,erzin,66.0,81,60,5.75,36.96,36.2,TR,1588574984
536,yala,89.6,66,20,11.41,6.33,101.25,TH,1588574984
537,the valley,80.6,78,20,5.82,18.22,-63.06,AI,1588574984
538,khash,83.48,10,0,8.99,28.22,61.22,IR,1588574984
539,ozinki,67.75,47,0,11.88,51.18,49.68,RU,1588574984
540,cabugao,87.8,79,20,13.87,17.79,120.46,PH,1588574985
541,licata,64.99,61,0,1.99,37.11,13.95,IT,1588574985
542,owando,81.95,62,25,2.42,-0.48,15.9,CG,1588574985
543,opuwo,72.39,17,0,7.54,-18.06,13.84,NA,1588574985
544,moose factory,19.4,79,90,8.05,51.26,-80.61,CA,1588574985
545,bilibino,25.74,90,1,0.89,68.05,166.44,RU,1588574986
546,garissa,86.29,49,0,19.13,-0.45,39.64,KE,1588574986
547,kavieng,84.34,79,82,10.54,-2.57,150.8,PG,1588574986
548,general pico,54.18,79,100,3.29,-35.66,-63.76,AR,1588574986
549,saint-louis,78.8,47,0,2.24,16.33,-15.0,SN,1588574986
550,half moon bay,53.6,87,20,3.36,37.46,-122.43,US,1588574871
551,khandyga,34.7,79,98,4.54,62.67,135.6,RU,1588574986
552,huarmey,68.49,83,100,8.79,-10.07,-78.15,PE,1588574987
553,bakchar,43.03,63,100,11.77,57.02,82.07,RU,1588574987
554,arica,62.15,83,100,2.8,-18.48,-70.3,CL,1588574987
555,tezu,94.69,28,0,4.45,27.92,96.17,IN,1588574987
556,labrea,72.19,95,20,1.32,-7.26,-64.8,BR,1588574987
557,mino,82.0,57,20,5.82,34.83,135.47,JP,1588574987
558,charters towers,75.36,28,0,7.65,-20.1,146.27,AU,1588574987
559,aykhal,46.4,28,90,8.95,66.0,111.5,RU,1588574988
560,washington,46.4,49,1,10.29,47.5,-120.5,US,1588574988
561,patu,70.61,85,82,8.66,-6.11,-37.64,BR,1588574988
562,teahupoo,80.6,78,20,4.7,-17.83,-149.27,PF,1588574988
563,tibacuy,72.18,91,40,2.8,4.35,-72.46,CO,1588574988
564,taltal,58.41,76,79,1.07,-25.4,-70.48,CL,1588574988
565,aktash,48.22,28,98,10.36,50.3,87.73,RU,1588574989
566,kingaroy,68.0,45,90,5.82,-26.53,151.83,AU,1588574989
567,abha,77.0,41,18,12.75,18.22,42.51,SA,1588574989
568,jining,71.15,39,92,17.02,35.41,116.58,CN,1588574989
569,penzance,54.0,93,75,8.05,50.12,-5.54,GB,1588574989
570,kawalu,84.74,63,93,2.73,-7.38,108.21,ID,1588574990
571,chiredzi,74.57,31,0,4.43,-21.05,31.67,ZW,1588574990
572,wamba,81.28,59,29,2.24,8.93,8.6,NG,1588574990
573,gasa,71.6,53,0,2.24,31.5,34.47,PS,1588574990
574,menomonie,37.99,64,1,5.93,44.88,-91.92,US,1588574990
575,mehran,73.4,25,2,4.7,33.12,46.16,IR,1588574824
576,coihueco,48.2,100,0,2.3,-36.62,-71.83,CL,1588574990
577,mount pleasant,71.6,78,1,9.17,32.79,-79.86,US,1588574754
578,carauari,72.72,96,10,1.48,-4.88,-66.9,BR,1588574991
579,cockburn town,78.8,79,13,11.65,21.46,-71.14,TC,1588574991
580,tromso,37.4,93,75,5.82,69.65,18.96,NO,1588574991
581,korhogo,77.58,74,82,9.35,9.45,-5.63,CI,1588574991
582,egvekinot,17.35,95,15,1.21,66.32,-179.17,RU,1588574991
583,qandala,91.6,55,53,6.11,11.47,49.87,SO,1588574992
584,russell,68.0,77,40,3.36,32.35,-85.2,US,1588574730
585,arkadak,66.4,53,82,15.19,51.93,43.5,RU,1588574992
586,svetlaya,38.48,91,100,8.25,46.54,138.33,RU,1588574992
587,hovd,71.83,12,99,19.08,48.01,91.64,MN,1588574992
588,olinda,78.8,83,40,4.7,-8.01,-34.86,BR,1588574993
589,teguldet,52.7,71,100,13.29,57.31,88.17,RU,1588574993
590,kaohsiung,87.8,52,40,11.41,22.62,120.31,TW,1588574993
591,helena,42.8,38,1,13.87,46.59,-112.04,US,1588574876
592,lichuan,67.6,55,100,5.64,30.3,108.85,CN,1588574993
593,kolondieba,82.31,54,0,6.64,11.09,-6.89,ML,1588574993
594,nova granada,64.4,52,0,5.82,-20.53,-49.31,BR,1588574994
595,oranjemund,59.68,81,0,12.15,-28.55,16.43,NA,1588574994
